model,experiment_date,dataset,seed,split,threshold,train_macro_f1,validation_macro_f1,validation_auc,test_macro_f1,test_auc,training_seconds,status,source_file
anemone,2026-08-26,venezuela,1,0,0.4150758131212525,0.625,0.2700262005748496,0.3136326069866355,0.2674294268605646,0.3035132374365759,51.44565030300146,ok,artifacts/results/low_data_exps/anemone_refactoring_2026-08-26/results.csv
anemone,2026-08-26,venezuela,2,0,0.3125841473809198,0.4857142857142857,0.2207986191788097,0.3082135633991144,0.2109431374548964,0.2959659728385552,49.55685943600111,ok,artifacts/results/low_data_exps/anemone_refactoring_2026-08-26/results.csv
anemone,2026-08-26,venezuela,3,0,0.4121880800873446,0.7777777777777777,0.2608369481216077,0.3168527888084823,0.2676153191712365,0.3180015740911298,46.81769708399952,ok,artifacts/results/low_data_exps/anemone_refactoring_2026-08-26/results.csv
anemone,2026-08-26,venezuela,4,0,0.6877597479407597,0.4545454545454545,0.4255786826237412,0.3097035484152741,0.42946959304984,0.3062494766984276,49.90849046099902,ok,artifacts/results/low_data_exps/anemone_refactoring_2026-08-26/results.csv
anemone,2026-08-26,venezuela,5,0,0.4464166813991338,0.4857142857142857,0.2779998576941712,0.3044054506238787,0.2828891091196626,0.3107607548939163,50.0979684260019,ok,artifacts/results/low_data_exps/anemone_refactoring_2026-08-26/results.csv
cola,2026-08-26,UAE,1,0,0.8044338226318359,0.8,0.6708428909005278,0.7636466686283877,0.665828874739038,0.7683359663542623,13.129353636002634,ok,artifacts/results/low_data_exps/cola_refactoring_2026-08-26/results.csv
cola,2026-08-26,UAE,2,0,0.8527446389198303,0.696969696969697,0.67669661701237,0.7934370305420901,0.6620450770160073,0.7855500325371805,12.511687161000737,ok,artifacts/results/low_data_exps/cola_refactoring_2026-08-26/results.csv
cola,2026-08-26,UAE,3,0,0.8467299938201904,0.8,0.6551696742251953,0.7536754471552464,0.6706931487269683,0.7684350999875862,12.468667441000434,ok,artifacts/results/low_data_exps/cola_refactoring_2026-08-26/results.csv
cola,2026-08-26,UAE,4,0,0.8477650284767151,0.898989898989899,0.7081232829489301,0.8102199708759878,0.7090572984246027,0.8094186044672798,12.859518891000334,ok,artifacts/results/low_data_exps/cola_refactoring_2026-08-26/results.csv
cola,2026-08-26,UAE,5,0,0.7945733070373535,0.8901098901098901,0.6123164263121889,0.7360338567633907,0.6062162117993574,0.740123008728504,12.489612456000032,ok,artifacts/results/low_data_exps/cola_refactoring_2026-08-26/results.csv
